Altium Designer Pick and Place Locations
C:\Projects\N95 Decon\n95-decon-hardware\N95Decon\Project Outputs for N95Decon\Pick Place\Pick Place for N95Decon(v1).csv

========================================================================================================================
File Design Information:

Date:       11/08/20
Time:       23:03
Revision:   193408d7b1e6c6f3eb71630f17c4f3460f675c0e
Variant:    v0.0
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer Part Number 1"
"C12","100nF","TopLayer","CAP_SM0603_YAGEOCC2_N","55.7758","13.0048","180","CAP 100nF SM0603 X7R 50V YAGEO CC2","CC0603KRX7R9BB104"
"C11","100nF","TopLayer","CAP_SM0603_YAGEOCC2_N","39.0880","41.3210","270","CAP 100nF SM0603 X7R 50V YAGEO CC2","CC0603KRX7R9BB104"
"C7","100nF","TopLayer","CAP_SM0603_YAGEOCC2_N","56.5378","41.3210","270","CAP 100nF SM0603 X7R 50V YAGEO CC2","CC0603KRX7R9BB104"
"C4","100nF","TopLayer","CAP_SM0603_YAGEOCC2_N","47.5970","3.5560","270","CAP 100nF SM0603 X7R 50V YAGEO CC2","CC0603KRX7R9BB104"
"SW1","4-1437565-1","TopLayer","TECO-4-1437565-1_V","67.0026","10.7442","270","Tactile Switch, 50 mA, 12 VDC, -20 to 85 degC, 4-Pin SMD, RoHS, Bulk","FSM4JSMATR"
"Q1","SI2323CDS-T1-GE3","TopLayer","SI2323CDS-T1-GE3","5.6870","23.3680","270","MOSFET P-CH 20V 6A SOT-23","SI2323CDS-T1-GE3"
"D4","ESD5Z3.3T1G","TopLayer","ONSC-SOD-523-2-502-01_V","5.8140","27.9400","360","Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel",""
"D3","LED R/A","TopLayer","5988510207F","28.8090","2.0066","180","DIALIGHT - 5988510207F - LED, RED/GRN, 60/40 MCD, 1208","5988510207F"
"D2","LED R/A","TopLayer","5988510207F","32.3570","41.4274","360","DIALIGHT - 5988510207F - LED, RED/GRN, 60/40 MCD, 1208","5988510207F"
"D1","LED R/A","TopLayer","5988510207F","2.0294","8.5090","90","DIALIGHT - 5988510207F - LED, RED/GRN, 60/40 MCD, 1208","5988510207F"
